"Checkout with Payson","Betala med Payson"
"Checkout with Payson. If invoice is choosen as payment method an %s invoice fee will be added.","Betala med Payson. Om ni väljer att betala med Payson faktura då till kommer en fakturaavgift på %s att adderas till totalsumman"
"You will be redirected to Payson's website.","Du kommer att skickas vidare till Paysons webbplats."

"Pay with Payson ","Betala med Payson."
"Invoice fee","Fakturaavgift"
"If you choose to pay with Payson invoice there will be an additional invoice fee, as seen above. Payment terms are 14 days and the invoice will be sent separately by email to the email address you specify. To pay by Payson invoice You must be 18 years old and be registered in Sweden as well as authorized in the credit assessment carried out at purchase.","Om du väljer att betala med Paysonfaktura då tillkommer ovanstående fakturaavgift. Betalningsvillkor är 14 dagar och fakturan kommer att sändas separat med e-post till den e-postadress Du anger. För att betala mot Paysonfaktura måste Du ha fyllt 18 år och vara folkbokförd i Sverige samt godkännas i den kreditprövning som genomförs vid köpet."
"The payment was denied by Payson. Please, try a different payment method", "Betalningen blev nekad. Vänligen, försök med en annan betalningsmetod."
"Something went wrong with the payment. Please, try a different payment method", "Något gick fel med betalningen. Vänligen, försök en annan betalningsmetod."

"Do you want to change your cart? Please click on Account then My account here you can choose to edit preferred cart.","Vill du ändra din varukorg? Klicka då på Konto sedan Mitt konto. Där kan ni ändra valfri varukorg"
"A payment window will be generated for your order","Ett betalfönster kommer att skapas till er transaktion."
"A Payson payment window could not be generated. Please inform the store, refresh the page and try another payment option.", "Ett betalfönster kunde inte skapas till er transaktion, vänligen kontakta butiken och/eller prova ett annat betalningsalternativ."

"Payson is not ready to create an invoice. Please try again later.","Payson är inte redo att skapa en faktura. Försök igen senare."
"Payson is not ready to cancel the order. Please try again later.","Payson är inte redo att avbryta beställningen. Försök igen senare."

"Order from %s","Order från %s"
"No description","Ingen beskrivning"
"Failed to initialize payment. Payson replied: %s","Misslyckades med att initiera betalning. Payson svarade med: %s"
"Failed to retrieve payment details. Payson replied: %s","Misslyckades med att hämta betalningsdetaljer. Payson svarade med: %s"
"Failed to update payment. Payson replied: %s","Misslyckades med att uppdatera betalning. Payson svarade med: %s"
"The customer was redirected to Payson","Kunden omdirigerades till Payson"
"Payson completed the order payment","Payson färdigställde betalningen"
"Payson created an invoice","Payson skapade en faktura"
"Payson updated the shipping address","Payson uppdaterade leveransadressen"
"Payson pinged the order with status %s","Payson pingade ordern med status: %s"
"Payson cancelled the order with status %s","Payson avbröt ordern med status: %s"

"Enable/disable Swedish vat on discount. Read more here","Aktivera denna ska använda flera olika momssatser och rabatter"
"Enable","Aktivera"
"Enable Invoice", "Aktivera Payson faktrura"
"Enable/disable payment with Payson.","Aktivera eller inaktivera betalning med Payson."
"Email","E-post"
"Email address bound to your Payson account.","E-postadress för ditt Paysonkonto."
"Agent ID","Agent ID"
"Agent ID is found on your Payson profile page.","Logga in på Paysons webbplats för att hämta ditt Agent ID."
"MD5 key","MD5-nyckel"
"MD5 key is found on your Payson profile page.","Logga in på Paysons webbplats för att hämta din MD5-nyckel."
"Enable payment guarantee","Aktivera Paysongaranti"
"Enable/disable payment guarantee.","Aktivera eller inaktivera Paysongaranti."

"The payment was successfully completed at Payson.","Transaktionen lyckades, en order har skapats."
"The payment was expired by Payson. Please, try a different payment method", "Betalningen har nekats då inget försök till att avsluta transaktionen har genomförts"
"Order was activated at Payson","Order aktiverades hos Payson"
"Payment was credited at Payson","Transaktionen krediterades hos Payson"
"Order was canceled at Payson","Transaktionen avbröts hos Payson"
"Order was denied at Payson","Transaktionen nekades hos Payson"

"Unable to ship order: %s Due to wrong current status, it should be readyToShip but it´s current status is: %s", "Det går inte att skicka order: %s Anledningen till det är att status borde vara readyToShip, men den har status: %s"
"No PaysonId was found, the order_id was %s. No shippment was sent", "Inget PaysonId hittades för denna order: %s . Ingen updatering har skickats till Payson"

"Payson invoice","Payson faktura"
"Enable/disable invoice payment with Payson.","Aktivera eller inaktivera faktura med Payson."
"Invoice fee tax","Momsklass för fakturaavgift"
"Tax class for invoice fees.","Momsklass för fakturaavgift."
"Invoice fee (SEK)","Fakturaavgift (SEK)"
"Input an invoice fee within the intervall of 0-40 including Vat.","Välj en fakturaavgift inom intervallet 0-40 inkl moms."
"Invoice fee (EUR)","Fakturaavgift (EUR)"
"Invoice fee for EUR excluding tax.","Fakturaavgift för EUR utan moms."
"Enable/disable test mode.","Slå på/av testläge"
"Enable this to send Payson invoice to customer instantly after purchase. Disabling this means you have to mark the goods as Shipped in Admin to activate the invoice","Aktivera detta för att skicka Payson-fakturan direkt när ett köp accepterats. Stängs denna funktion av måste ordern markeras som Skickad i Magento Admin eller Payson Admin"

